layer,E_falqon_x,E_tr_x,E_so_x,P_falqon_x,P_tr_x,P_so_x,E_falqon_xy,E_tr_xy,E_so_xy,P_falqon_xy,P_tr_xy,P_so_xy,E_falqon_warm,E_tr_warm,E_so_warm,P_falqon_warm,P_tr_warm,P_so_warm
405,-0.0035617742835984357,-0.006387188088600517,-0.004949001943360151,0.41234834078283183,0.573583412468286,0.5719962385757054,-0.006475792796199996,-0.00638906523540587,0.002945589438723954,0.6261862949420792,0.5921481828125281,0.39769170237314094,0.015322266076483034,0.025382970494196914,0.012943357644624953,0.6046067653533418,0.5945356686544327,0.5995292797424482
406,-0.00356877909090466,-0.006394950115883055,-0.004957855446195981,0.4134086505699876,0.5741517109568555,0.5722176079895107,-0.006475782658216527,-0.006389246641162326,0.0029411507856409937,0.6261993844540719,0.592158668332081,0.39869262078020884,0.015321656191792491,0.025379616248346212,0.012943293674938596,0.6047275645265431,0.5946873164898951,0.5995424809540706
407,-0.003575503444956987,-0.006403490834520511,-0.004956799621292816,0.41446541715699636,0.5747001988995054,0.5721892914797809,-0.006475843831679912,-0.006389366832060674,0.0029363423373823055,0.6261647312404055,0.5921684629928515,0.3997330663020895,0.015320699435160113,0.025377197114215926,0.012941382146031726,0.6048662085859445,0.5947530442807542,0.5996892178818752
408,-0.003582006287994082,-0.006413862839951244,-0.004963216857051675,0.4155227122738053,0.5752889852150922,0.5723821579548556,-0.006475962029378987,-0.006389351364240759,0.0029311720906293774,0.6261061702796026,0.5921718875779601,0.400810344293087,0.01531928618916708,0.025374764808995726,0.012934796483215416,0.6050089169877141,0.594771152294906,0.5999524894485921
409,-0.00358834551456123,-0.006424856057119555,-0.0049623331238088505,0.41658320122445225,0.5759083128935105,0.5723482793076975,-0.00647605165544776,-0.00638941502077757,0.002925656927915918,0.6260477951341795,0.5921709973331584,0.4019215942786483,0.015317128585815847,0.025373204004942085,0.012923340649342425,0.6051514677569507,0.5947538149964858,0.6002002101400993
410,-0.0035945944053415333,-0.006434522340247693,-0.004966839651209064,0.41764971938017037,0.5765109756726188,0.57254376981787,-0.0064760696558518955,-0.006389805579853081,0.002919823431508904,0.6260094455000651,0.5921710105078546,0.4030638462678895,0.015314056500004544,0.02537360718551638,0.012914316474828928,0.6052823678379722,0.5947401436115242,0.6002610362303047
411,-0.0036008555201922083,-0.0064426453273431885,-0.004966305469714531,0.4187268428275042,0.5770687548552059,0.5725168392895733,-0.006476064302520776,-0.006390473054765053,0.0029137087877380524,0.6260037600049788,0.5921728771375926,0.40423397846741066,0.015310655672888964,0.02537033826506803,0.01291254529150856,0.6053797002988679,0.5947556493566775,0.6002107688807806
412,-0.003607269542560505,-0.0064505892018795535,-0.00497069883602477,0.4198219507913809,0.5776058103460039,0.5727286350724474,-0.006476141709801424,-0.006391120890145257,0.0029073616239185486,0.626035378975365,0.5921733936392334,0.40542857872479265,0.015308460272409697,0.025362371289742967,0.012912590780790196,0.6054275742813018,0.5947061501301063,0.6002089143805373
413,-0.003614017856193114,-0.00645958112170221,-0.004970689484636177,0.42094536948355954,0.5781564809543177,0.5727282315233914,-0.006476398490468906,-0.0063914964914722535,0.0029008425264284645,0.6261022471048856,0.5921703215594104,0.40664372741416344,0.015308335565850102,0.025359305242599287,0.012910034704891906,0.6054372075982395,0.5945953586765161,0.6002380966201706
414,-0.003621317939567651,-0.006469302196991437,-0.004977370617059537,0.4221094273537386,0.578707484769898,0.5729785990679072,-0.0064768749391825465,-0.00639157639437511,0.002894223914675694,0.6261981546972719,0.592165498294001,0.4078747354720487,0.015307858999887066,0.02535960425398199,0.01290498051268385,0.6054361131832935,0.5945726013895578,0.6002494347514203
