layer,E_falqon_x,E_tr_x,E_so_x,P_falqon_x,P_tr_x,P_so_x,E_falqon_xy,E_tr_xy,E_so_xy,P_falqon_xy,P_tr_xy,P_so_xy,E_falqon_warm,E_tr_warm,E_so_warm,P_falqon_warm,P_tr_warm,P_so_warm
118,-0.02008363081975834,-0.02030713337990708,-0.02010937917632473,0.7505338756569134,0.6979814103687363,0.6543351251246841,-0.021177790978297154,-0.02115543671619164,-0.021120904790272062,0.9957378538493803,0.9830995420934702,0.9777511564926337,-0.01860319898830455,-0.01870432489991448,-0.018817939646232476,0.7436890641570583,0.7477766906369188,0.7636231433397903
119,-0.02009774541297765,-0.020307840505048587,-0.02010944887451234,0.7522868235335605,0.6980662260533262,0.6543873197982495,-0.02117883579476148,-0.02115691373244434,-0.02112148193700252,0.9958280014391248,0.983863932228381,0.9782649558321712,-0.018609037726167618,-0.018704708895784527,-0.01881806673875391,0.7451297916521774,0.7478097818488725,0.7635726704943019
120,-0.02011137738190005,-0.02030800664687739,-0.020109546677529684,0.7539379361461939,0.6981061388894149,0.6544407093213244,-0.02117975146515018,-0.0211589393759996,-0.02112216313111724,0.9958924480720736,0.9847560226000143,0.9788321594581432,-0.018615026261681423,-0.018706540699977226,-0.01881821603060292,0.7464878210087953,0.7477718464332227,0.7634971413938986
121,-0.02012442860387363,-0.020307982786336165,-0.020109694144678,0.755503257010968,0.698112275459295,0.654503877495221,-0.02118052404292524,-0.02116177841596696,-0.021122975854297673,0.995934331294644,0.9858115602473877,0.9794602867917813,-0.018621008969241185,-0.01870716969017194,-0.018818337607921686,0.7477124819342648,0.7475080207307535,0.7634130087546489
122,-0.020136818220352567,-0.02030819502509573,-0.020109812408810948,0.7570003255112475,0.6980989048404749,0.654545074321451,-0.02118114781111913,-0.021164939763210086,-0.02112395217705397,0.9959577039924798,0.9868852452847466,0.9801557889592513,-0.018626810275286062,-0.01870741776787516,-0.01881841741794466,0.7487649903349829,0.7475765433968004,0.7633062837674999
123,-0.020148508431068253,-0.020308788822187056,-0.02010991954094056,0.7584477087498452,0.698077693978547,0.6545779863114624,-0.021181627242171878,-0.021167239371153675,-0.021125126122608154,0.9959672060986773,0.9877079638356365,0.9809222939730625,-0.018632141538845085,-0.018707840062727635,-0.01881840333203584,0.7496157562742449,0.7477581483566736,0.7632701313767307
124,-0.02015952391331077,-0.020309599575364365,-0.02010995155926403,0.7598645588562881,0.698054956105411,0.6545860466815158,-0.021181976624399582,-0.021168203272788347,-0.021126530092845423,0.9959675819765047,0.9881421278175442,0.9817590666591132,-0.018636577832285908,-0.018707842248165837,-0.018818663488327555,0.7502462499135519,0.7477535877351008,0.7634038539416639
125,-0.02016994543212379,-0.020310444396388197,-0.020109975734100546,0.7612692845178589,0.698031905038283,0.6545905300713494,-0.02118221746619187,-0.02116851491452782,-0.021128190715710322,0.9959631306995326,0.9883091775033425,0.9826600165491817,-0.018639779028928997,-0.018707751276874515,-0.018819989959284137,0.7506657342153921,0.7477234700893923,0.7637554080849932
126,-0.020179877186368777,-0.0203112403480893,-0.020109975339964378,0.762677274656679,0.6980049858748119,0.6545901924944748,-0.021182374581545146,-0.021168757233549426,-0.0211301246243677,0.9959572303771932,0.9883947912837386,0.9836134916103486,-0.018641740319523526,-0.01871080713677054,-0.018822143175881375,0.7509167599314296,0.7481897482535197,0.7641386874837448
127,-0.020189404949749315,-0.020311948965059053,-0.02010997558786098,0.7640984645922582,0.6979673119708651,0.6545905726926118,-0.02118247213305123,-0.02116916941161366,-0.02113233461465068,0.9959520781804381,0.9884703321928864,0.9846028983121576,-0.01864274936094434,-0.01871656115221026,-0.01882381154039686,0.7510549609517301,0.7489756511089039,0.7643762202841298
128,-0.020198565459256183,-0.020312506288759465,-0.020109976567644353,0.7655359415333405,0.6979131044695186,0.6545923961280521,-0.021182530708146793,-0.02116945825328687,-0.021134806448971588,0.9959487185882022,0.9884736387098532,0.9856079760631821,-0.018643165008858,-0.01871679647103402,-0.01882435021253727,0.7511260454726627,0.7491544369925037,0.7644559072090178
129,-0.02020734019327859,-0.020312818367065208,-0.020109978700017402,0.7669865808636874,0.697848854124942,0.654595013020691,-0.0211825659323373,-0.02116937856263311,-0.021137506493855054,0.9959473274921145,0.9884300536670213,0.9866064219697723,-0.018643281872560386,-0.018716718318872543,-0.018824394216416514,0.751158898268288,0.7491706855514054,0.7644708931592085
130,-0.020215674704952395,-0.020312897619447042,-0.0201099921132788,0.7684438023609483,0.6977993197895995,0.6546058273431362,-0.021182588533499094,-0.021169830550002558,-0.021140380538376698,0.9959476361801681,0.9885643499613149,0.9875755544613017,-0.01864329407162058,-0.018717305640455203,-0.018824395352841413,0.751170059560526,0.7490789143534411,0.7644713565539089
131,-0.02022351183006105,-0.02031289313431371,-0.020110024299646187,0.7699012870725093,0.6977855413539413,0.6546225956365341,-0.021182605403895712,-0.02117101757119983,-0.021143354483586615,0.9959493521686263,0.9889328447441725,0.9884938008755338,-0.01864329393741143,-0.018716232869081185,-0.01882445451589854,0.7511701983928976,0.7487269214244704,0.764473691129518
132,-0.020230820677134224,-0.020312919404511794,-0.020110129140976415,0.7713558730274943,0.6978021759236817,0.654662885687914,-0.021182621090337864,-0.021171818124214585,-0.021146337850519163,0.9959524596140344,0.9892952004120137,0.9893419362782506,-0.018643302590630084,-0.0187209112300547,-0.01882500502398449,0.7511675049392251,0.7493105031766905,0.7644538067047236
133,-0.020237609576879364,-0.02031299151533332,-0.020110272334173725,0.7728085376543102,0.6978281044267797,0.6547033753668237,-0.021182639187960164,-0.021172097505275326,-0.02114923086227099,0.995957334818428,0.9895077000310362,0.9901041219743333,-0.01864331514354732,-0.018722349577895033,-0.01882567361988596,0.7511675042670923,0.7496695332047473,0.7643642560650289
134,-0.020243924499111835,-0.02031307018617888,-0.02011057183274307,0.7742637985431813,0.6978443422532428,0.654775560740518,-0.021182663239568297,-0.021172322826330456,-0.02115193496740226,0.9959646689274811,0.9896557554676487,0.9907688317167522,-0.018643326572835187,-0.01872242649078824,-0.018825956384989587,0.7511724914898464,0.7496281670938479,0.7642414009115995
135,-0.02024984200742812,-0.020313102542919955,-0.0201107474987205,0.7757287257410799,0.6978435509270047,0.6548093343995697,-0.02118269692861347,-0.021172974818354277,-0.02115436522738233,0.995975239822325,0.9899398822059038,0.991329677022115,-0.01864333691348163,-0.018722096673603958,-0.018825950102492568,0.7511828881951758,0.7495357854573023,0.7642052886370112
136,-0.020255463002544386,-0.02031310012407532,-0.020111143296058773,0.7772124279914244,0.6978392646172309,0.6548864015690051,-0.0211827435951562,-0.02117427013563515,-0.021156461651421973,0.9959896149597823,0.9904261059693955,0.9917859816950912,-0.018643350438137144,-0.018724515765398894,-0.01882601587588241,0.7512009464554219,0.750127553358134,0.7642519834834904
137,-0.02026090682049741,-0.020313114729987706,-0.020111098574990507,0.7787258300430604,0.697849086560828,0.6548792748406314,-0.02118280535196537,-0.021175274937712665,-0.021158196239091556,0.9960078896115558,0.9908877693816934,0.992142826169613,-0.01864337879462646,-0.018724291017258973,-0.01882614753076207,0.7512359457182448,0.7503058922986162,0.7643233194210809
138,-0.020266302047844756,-0.020313151468695896,-0.020111559227354463,0.7802807723629265,0.6978728917304164,0.6549526758849278,-0.021182882231094644,-0.02117553758638417,-0.021159573670390678,0.996029557695336,0.991122566554979,0.9924103218514615,-0.01864345168391217,-0.018724032746224875,-0.01882621741509816,0.7513075874885646,0.7503775931011512,0.7643619774270047
139,-0.02027177184985607,-0.02031320499945977,-0.020111505727284387,0.7818876306410211,0.69790301608236,0.6549435041943249,-0.02118297176345945,-0.021175597389321718,-0.021160625792609286,0.9960535672307305,0.9911916992633313,0.992602115582039,-0.018643625123225756,-0.018724504068914627,-0.018826250380353075,0.7514411337414093,0.7500766447898891,0.7643807787747936
140,-0.020277415008672802,-0.02031331279985937,-0.0201118047028329,0.7835517122509613,0.6979441360425889,0.6549956017349513,-0.021183069194704415,-0.021175759192783652,-0.02116140210437984,0.9960785413578715,0.991283360581381,0.9927334320913335,-0.018643963335228705,-0.01872381312269121,-0.018826258808129756,0.7516520853322237,0.7499531840784361,0.7643886645295269
